OBJECTID,CSA2010,affordm10,affordm11,affordm12,affordm13,affordm14,affordm15,affordm16,affordm17,affordm18,affordm19,CSA2020,affordm20,Shape__Area,Shape__Length
20,Greater Govans,36.3245236631838,36.5611421477343,36.3245236631838,41.8798334324807,42,43.5154707044108,45.9923664122137,46.9575906576521,41.1691542288557,39.16175508,Greater Govans,38.77822045,22698495.7178955,22982.125714974
21,Greater Mondawmin,40.0829875518672,38.0725190839695,40.0829875518672,31.4741035856574,31.1927,31.3394018205462,33.5427135678392,40.9145607701564,41.533180778032,42.57668712,Greater Mondawmin,42.33576642,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,28.2608695652174,27.3997569866343,28.2608695652174,34.6830985915493,33.8462,31.6789215686274,28.2636248415716,25.0167672702883,26.263952724885,29.41558442,Greater Roland Park/Poplar Hill,26.0514752,56688145.1790161,39862.7497953117
23,Greater Rosemont,45.5376344086022,45.7372654155496,45.5376344086022,48.3957219251337,51.0341,48.9451476793249,47.5016655562958,47.4541751527494,47.8540772532188,43.46689895,Greater Rosemont,57.36,42204384.5406494,32559.0762211492
24,Greenmount East,43.5197817189632,46.5616045845272,43.5197817189632,48.0337078651685,49.5161,48.9291598023064,50.9584664536741,53.4013605442176,53.4591194968553,41.50579151,Oliver/Johnson Square,44.77351916,19072287.8240967,20797.4734578598
25,Hamilton,41.3342272879651,39.0619875368973,41.3342272879651,42.6086956521739,41.3255,41.7828200972447,40.3827119762455,35.6834053874293,30.6280875088214,32.22765363,Hamilton,33.52920843,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,36.4179104477612,26.4705882352941,36.4179104477612,34.4387755102041,33.4,39.8584905660377,50.9977827050998,37.5280898876404,44.2048517520215,41.48148148,Harbor East/Little Italy,29.10447761,10215859.0836182,18552.4075815937
27,Harford/Echodale,35.1170568561873,37.0381868984787,35.1170568561873,35.141065830721,37.0023,37.651292116454,36.7105263157895,33.8148391332895,31.7757009345794,25.6187291,Hamilton Hills,25.0938887,65360039.1698608,40019.1854001996
28,Highlandtown,37.9130434782609,38.9226759339705,37.9130434782609,26.6386554621849,27.3983,25.1282051282051,20.8520179372197,18.5185185185185,20.4561653599429,18.09083911,Highlandtown,26.69902913,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,55.0319953461315,60.0708800945068,55.0319953461315,52.4188609920392,50.8133,48.6535008976661,44.6629213483146,42.7267541357672,45.2674897119341,42.00206398,Howard Park/West Arlington,44.17791104,63262430.0730591,36034.4984469719
